,stars,body,date
0,1.0,This type of Guitar has following disadvantages1.The strings are not at all good quality2.The dots on it are in correct3.The distance between the strings and board is more4.The lines are 18...but it should have 21,31 May 2018
1,5.0,"As a layman (who doesn't know much about guitars) this product is awesome... It feels good, it sounds good, the strings are good... Before buying it, I researched a little bit and came to a conclusion that this the best (considering the MRP) beginners / learning guitar you can have. Ofcourse there are one or two things which may bother you once you learn more about guitar and chords and frets. But if you are just starting, this is the one to go with.",14 October 2018
2,5.0,For 2000 rs its a really really good purchase...i was a beginner when i bought this as my very first guitar and it really really supported me as i moved forward,11 August 2018
3,1.0,"pros:* The guitar has fair sound for its price.* Looks goodCon:* Action is too high, double of what is expectedAction is the distance between the frets and the strings or how high the strings are. If this is too high you would have to press very hard to get a good sound and this will hurt your fingers.Action measured at 12th fret was 0.5mm should be about 0.28mm, ill attach an imageYou might have heard playing guitars usually hurts the fingers but with this it hurts more than it should.As beginner this experience might deter you from learning guitar or practicing more.Learning guitars could be difficult but it shouldn't be a pain.If you are beginner buy guitar from trusted brand accompanied by someone experienced.",30 January 2019
4,5.0,"The media could not be loaded.
                



 Loved it",26 January 2022
5,5.0,"It is only for beginners. The price is quite satisfactory and budget friendly.Its sound good.Built quality good.Its came up with a guitar cover, two nos of pic, guitar holding strap.Thanks for readingIf you found it is helpful then press the helpful button.",24 September 2019
6,1.0,"I'm beginner , I watched videos on YouTube and bought this product but I don't know why this doesn't sound like I watched on YouTube.So after a day of my order delivery I took it to expert of instruments she said it is completely worth less only we can use it for photography and child play , this sure looks like guitar but doesn't sound like it, it's material is worst .Please don't buy even if u r a beginner please buy bit expensive than this because it's material is so bad and u will waste your money.",16 September 2019
7,1.0,I have got damaged item . There is crack on fretborad and last string has broken. So please help me. What should I do now .,29 May 2017
8,5.0,This is actually very nice for beginners. I loved it. Its actually cool that you receive it with extra strings and picks.,31 January 2019
9,5.0,I have buy one 2 years ago.. I m still using it.. you have to change string with standard strings set like D'Addario strings and it will perform like standard guitars. ONLY FOR BEGINNERS ...INTERMEDIATE SHOULD TRY VAULT GUITAR IF THEY DONT HAVE ENOUGH BUDGET,2 January 2019
10,5.0,"As expected stylish, good sound, best for beginner, love it.",20 October 2018
